0,17060
1,18733
2,17058
3,12362
4,8255
5,4815
6,3944
7,3967
8,6058
9,8354
10,9422
11,9352
12,7937
13,6067
14,5208
15,4640
16,4409
17,3819
18,2861
19,2055
20,1103
21,843
22,769
23,690
24,812
25,1725
26,3672
27,6935
28,9503
29,10712
30,9642
31,6934
32,4046
33,1760
34,808
35,619
36,716
37,883
38,1012
39,1140
40,1204
41,1193
42,1152
43,1106
44,1099
45,1100
46,1011
47,820
48,622
49,440
50,342
51,293
52,248
53,222
54,197
55,178
56,162
57,141
58,141
59,161
60,179
61,202
62,201
63,202
64,194
65,184
66,176
67,181
68,339
69,666
70,956
71,1161
72,1332
73,1224
74,924
75,550
76,517
77,599
78,761
79,1277
80,1845
81,2563
82,2740
83,2587
84,2665
85,1722
86,1204
87,1136
88,1537
89,1997
90,2220
91,2411
92,2462
93,1944
94,1240
95,917
96,751
97,648
98,585
99,499
100,440
101,409
102,397
103,346
104,315
105,249
106,218
107,194
108,185
109,165
110,158
111,154
112,121
113,137
114,126
115,113
116,118
117,105
118,99
119,76
120,37
121,19
122,5
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
